CountyFIPS,StateDesc,StateAbbr,CountyName,scoring_referent,stroke_belt,cle8_point,cle8_lower,cle8_upper,cle8_range,cvh_cat_point,cvh_cat_lower,cvh_cat_upper,cvh_cat_stable,behavior_point,behavior_lower,behavior_upper,behavior_range,factor_point,factor_lower,factor_upper,factor_range,lpa_point,lpa_lower,lpa_upper,lpa_range,lpa_ci_width_pp,smoking_point,smoking_lower,smoking_upper,smoking_range,smoking_ci_width_pp,sleep_point,sleep_lower,sleep_upper,sleep_range,sleep_ci_width_pp,diet_point,diet_lower,diet_upper,diet_range,diet_ci_width_pp,bp_point,bp_lower,bp_upper,bp_range,bp_ci_width_pp,chol_point,chol_lower,chol_upper,chol_range,chol_ci_width_pp,glucose_point,glucose_lower,glucose_upper,glucose_range,glucose_ci_width_pp,obesity_point,obesity_lower,obesity_upper,obesity_range,obesity_ci_width_pp
48179,Texas,TX,Gray,within_state,partial,42.5,48.75,37.5,11.25,Low,Low,Low,TRUE,45,50,40,10,40,47.5,35,12.5,40,40,30,10,9.7,20,20,20,0,4.899999999999999,50,70,40,30,15,70,70,70,0,3.8000000000000007,30,40,30,10,8.5,40,50,30,20,9.699999999999996,50,50,50,0,3.700000000000001,40,50,30,20,17.200000000000003
48181,Texas,TX,Grayson,within_state,partial,71.25,72.5,70,2.5,Moderate,Moderate,Moderate,TRUE,57.5,57.5,57.5,0,85,87.5,82.5,5,80,80,80,0,8.400000000000002,40,40,40,0,4.399999999999999,20,20,20,0,13.800000000000004,90,90,90,0,3.400000000000002,80,90,80,10,8.3,100,100,90,10,9.2,80,80,80,0,3.0999999999999996,80,80,80,0,15.100000000000001
48183,Texas,TX,Gregg,within_state,partial,53.75,56.25,52.5,3.75,Moderate,Moderate,Moderate,TRUE,57.5,57.5,57.5,0,50,55,47.5,7.5,70,70,70,0,8.799999999999997,50,50,50,0,4.400000000000002,40,50,40,10,14.199999999999996,70,60,70,10,3.6000000000000014,20,30,20,10,8.700000000000003,80,80,70,10,9.499999999999996,50,60,50,10,3.5,50,50,50,0,15.899999999999999
48185,Texas,TX,Grimes,within_state,partial,40,55,30,25,Low,Moderate,Low,FALSE,42.5,57.5,30,27.5,37.5,52.5,30,22.5,50,60,40,20,11.100000000000001,30,40,30,10,5.399999999999999,40,80,10,70,18.199999999999996,50,50,40,10,4.199999999999999,20,30,20,10,8.800000000000004,50,60,50,10,9.500000000000004,50,60,40,20,4.299999999999999,30,60,10,50,20.700000000000003
48187,Texas,TX,Guadalupe,within_state,partial,85,77.5,83.75,6.25,High,Moderate,High,FALSE,90,85,90,5,80,70,77.5,7.5,90,90,90,0,7.099999999999998,100,100,100,0,3.0999999999999996,90,70,90,20,10.899999999999999,80,80,80,0,3.6000000000000014,80,80,80,0,7.599999999999998,100,100,90,10,8.699999999999996,80,70,70,0,3.1000000000000014,60,30,70,40,12.200000000000003
48189,Texas,TX,Hale,within_state,partial,25,30,25,5,Low,Low,Low,TRUE,22.5,25,22.5,2.5,27.5,35,27.5,7.5,20,20,20,0,9.900000000000002,30,30,30,0,4.5,20,30,20,10,14.600000000000001,20,20,20,0,4.899999999999999,40,50,40,10,8.8,30,50,30,20,10,20,20,20,0,3.900000000000002,20,20,20,0,16.700000000000003
48191,Texas,TX,Hall,within_state,partial,42.5,35,56.25,21.25,Low,Low,Moderate,FALSE,45,30,62.5,32.5,40,40,50,10,50,30,60,30,5.199999999999999,60,50,70,20,2.5999999999999996,30,10,80,70,8.199999999999996,40,30,40,10,2.799999999999997,40,50,40,10,8.8,50,70,40,30,9.899999999999999,40,30,50,20,2,30,10,70,60,9.300000000000004
48193,Texas,TX,Hamilton,within_state,partial,61.25,63.75,57.5,6.25,Moderate,Moderate,Moderate,TRUE,60,60,52.5,7.5,62.5,67.5,62.5,5,70,70,60,10,9,30,30,30,0,4.600000000000001,50,50,30,20,14.799999999999997,90,90,90,0,3.299999999999999,50,60,50,10,8.299999999999997,40,50,50,0,9.199999999999996,80,80,80,0,3.0999999999999996,80,80,70,10,16.400000000000002
48195,Texas,TX,Hansford,within_state,partial,73.75,50,91.25,41.25,Moderate,Moderate,High,FALSE,87.5,65,92.5,27.5,60,35,90,55,80,60,90,30,4.300000000000001,100,90,100,10,2,100,50,100,50,6.899999999999999,70,60,80,20,2.1999999999999993,50,30,80,50,4.399999999999999,30,10,90,80,5,70,60,90,30,1.799999999999999,90,40,100,60,7.800000000000004
48197,Texas,TX,Hardeman,within_state,partial,71.25,75,62.5,12.5,Moderate,Moderate,Moderate,TRUE,65,67.5,62.5,5,77.5,82.5,62.5,20,70,70,70,0,9.000000000000004,50,50,50,0,4.400000000000002,80,90,70,20,15,60,60,60,0,4,80,80,70,10,8.699999999999996,80,80,40,40,10.099999999999998,70,80,70,10,3.3000000000000007,80,90,70,20,16.799999999999997
